timestep,location,flow,occupy,speed
4292,0,259,1,1
4293,0,70,1,1
4294,0,123,1,1
4295,0,194,1,1
4296,0,303,1,1
4297,0,615,1,1
4298,0,463,1,1
4299,0,523,1,1
4300,0,543,1,1
4301,0,538,1,1
4302,0,549,1,1
4303,0,530,1,1
4304,0,475,1,1
4305,0,435,1,1
4306,0,380,1,1
4307,0,424,1,1
4308,0,393,1,1
4309,0,403,1,1
4310,0,421,1,1
4311,0,388,1,1
4312,0,382,1,1
4313,0,439,1,1
4314,0,378,1,1
4315,0,393,1,1
4316,0,381,1,1
4317,0,450,1,1
4318,0,451,1,1
4319,0,386,1,1
4320,0,325,1,1
4321,0,232,1,1
4322,0,264,1,1
4323,0,430,1,1
4324,0,489,1,1
4325,0,486,1,1
4326,0,527,1,1
4327,0,519,1,1
4328,0,476,1,1
4329,0,455,1,1
4330,0,554,1,1
4331,0,509,1,1
4332,0,521,1,1
4333,0,537,1,1
4334,0,523,1,1
4335,0,554,1,1
4336,0,593,1,1
4337,0,645,1,1
4338,0,585,1,1
4339,0,562,1,1
4340,0,583,1,1
4341,0,575,1,1
4342,0,460,1,1
4343,0,580,1,1
4344,0,598,1,1
4345,0,678,1,1
4346,0,750,1,1
4347,0,557,1,1
4348,0,546,1,1
4349,0,528,1,1
4350,0,509,1,1
4351,0,502,1,1
4352,0,491,1,1
4353,0,454,1,1
4354,0,429,1,1
4355,0,375,1,1
4356,0,434,1,1
4357,0,402,1,1
4358,0,353,1,1
4359,0,530,1,1
4360,0,442,1,1
4361,0,484,1,1
4362,0,408,1,1
4363,0,426,1,1
4364,0,0,1,1
4365,0,0,1,1
4366,0,59,1,1
4367,0,66,1,1
4368,0,73,1,1
4369,0,157,1,1
4370,0,209,1,1
4371,0,170,1,1
4372,0,243,1,1
4373,0,277,1,1
4374,0,307,1,1
4375,0,368,1,1
4376,0,359,1,1
4377,0,412,1,1
4378,0,377,1,1
4379,0,370,1,1
4380,0,402,1,1
4381,0,404,1,1
4382,0,357,1,1
4383,0,403,1,1
4384,0,408,1,1
4385,0,437,1,1
4386,0,424,1,1
4387,0,379,1,1
4388,0,419,1,1
4389,0,468,1,1
4390,0,500,1,1
