from,to,cost
3,2,0.025156813178909027
2,1,0.028342845008845874
0,1,0.02438092117905447
1,6,0.0014717739413180166
1,7,0.0014727480974861323
7,4,0.07121320464687608
6,5,0.05890715948696688
4,8,0.06089217111408536
5,8,0.07095986545836068
5,11,0.002056693003662521
8,12,0.0020890037467398803
11,12,0.03401993291317687
12,9,0.04032352147711339
11,10,0.039983696373228995
10,9,0.03501249468755459
9,13,0.02375151318102719
9,14,0.03404220059686913
13,14,0.01861657119545633
10,17,0.001171737635143057
14,18,0.0012144413792818894
17,18,0.046495667720403006
17,16,0.028970318392319713
18,15,0.028974537825912906
16,15,0.04779483537603825
